No.,Bout ID,Boxer,Date,Venue,ID,WeeklyID,lnRPurse,RPurse,Purse,RichA,Losers,DOB,Age,,weight,,RDS,TFights,Wins,KO,Losses,L-KO,Draws,OTFights,OWins,OKO,,OLosses,OL-KO,ODraws,,,,,NeverKO,ORecentKO,ORecentKOsq,Debut,ODebut,WinPerDiff,Rematch,Unify,W-Title,T-Belt,R-Title,R-Belt,Eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,"Caldwell, Caleb",2009.01.30,Orleans Hotel,306,3,7.043425879,1145.304569,1000,0,1,84.06.24,24.58333333,,176.5,,4,6,2,2,3,3,1,4,1,1,,2,1,1,,,,,0,4,16,0,0,8.333333333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17,"Bogere, Sharif",2009.02.14,Buffalo Bills Arena,232,4,7.225747436,1374.365482,1200,0,0,88.10.08,20.33333333,,136.5,,4,5,5,3,0,0,0,2,2,1,,0,0,0,,,,,0,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,17,"Small, Carlos",2009.02.14,Buffalo Bills Arena,2166,4,7.225747436,1374.365482,1200,0,0,85.01.02,24.08333333,,132,,4,2,2,1,0,0,0,5,5,3,,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18,"Yanez, David H.",2009.02.14,Buffalo Bills Arena,2529,4,7.043425879,1145.304569,1000,0,1,90.02.06,19,,130,,4,0,0,0,0,0,0,3,2,1,,1,0,0,,,,,0,1,1,1,0,-66.66666667,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18,"Ellis, Richard",2009.02.14,Buffalo Bills Arena,614,4,7.043425879,1145.304569,1000,0,0,79.08.20,29.5,,132,,4,3,2,1,1,0,0,0,0,0,,0,0,0,,,,,1,0,0,0,1,66.66666667,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19,"Garcia, Ignacio",2009.02.14,Buffalo Bills Arena,776,4,6.938065364,1030.774112,900,0,1,89.02.21,20,,143.5,,4,2,1,0,1,0,0,1,1,0,,0,0,0,,,,,1,0,0,0,0,-50,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20,"Scott, Herman",2009.02.14,Buffalo Bills Arena,2110,4,7.043425879,1145.304569,1000,0,0,79.03.26,29.91666667,,160.5,,4,2,2,1,0,0,0,1,1,0,,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21,"Brinkley, Jesse Lee",2009.02.14,Reno Events Centre,258,4,9.346010972,11453.04569,10000,0,0,76.11.14,32.25,,165,,12,37,32,22,5,2,0,18,17,13,,1,0,0,,,,,0,1,1,0,0,-7.957957958,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21,"Gilbert, Joseph S.",2009.02.14,Reno Events Centre,823,4,9.346010972,11453.04569,10000,0,0,76.06.05,32.66666667,,165,,12,18,17,13,1,0,0,37,32,22,,5,2,0,,,,,0,1,1,0,0,7.957957958,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,22,"Del Real, Gabriel",2009.02.14,Reno Events Centre,526,4,7.225747436,1374.365482,1200,0,0,86.07.25,22.58333333,,147,,4,2,2,1,0,0,0,4,2,1,,2,2,0,,,,,0,4,16,0,0,50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
